,GPR,GEPU_current, New Orders,UMich Sentiment,Unemployment Rate,Recession Spread,Term Spread
2005-01-01,-8.928389663946215,-12.362069076411219,,-1.5999999999999943,-0.1000000000000005,0.0,0.0
2005-02-01,7.423865650701917,-6.421031399120143,0.7706609406096155,-1.4000000000000057,0.1000000000000005,0.0,0.0
2005-03-01,-20.53686819124912,-0.4735020448544824,-1.9319777280710653,-1.5,-0.2000000000000001,-0.0699999999999999,-0.01
2005-04-01,-3.8814076094250534,21.296418157731697,2.8039953301336102,-4.899999999999992,0.0,-0.08,0.03
2005-05-01,11.377680885689399,0.932108627403745,2.6434900332393743,-0.7999999999999972,-0.1000000000000005,0.0,0.0
2005-06-01,-21.056528054116338,0.9183071085711352,1.1460502464382556,9.099999999999994,-0.0999999999999996,0.0,0.0
2005-07-01,51.10119541435917,-13.97937735934349,-3.5996792467471996,0.5,0.0,-0.1099999999999999,-0.0499999999999999
2005-08-01,-42.73875503210147,0.11695630978475824,3.662466015594824,-7.400000000000006,-0.0999999999999996,-0.0199999999999999,-0.05
2005-09-01,-11.964432888994315,33.81055860121316,0.7093830569535375,-12.199999999999989,0.0999999999999996,0.0199999999999999,-0.2999999999999999
2005-10-01,-19.234416066504924,-43.60424258016806,1.3023612471213983,-2.700000000000003,0.0,0.0,0.0
2005-11-01,-4.290524235135332,4.016106406741928,2.846832397754611,7.399999999999991,0.0,0.0,0.0
2005-12-01,12.449002812346672,-11.138143060308579,0.35344377170605773,9.900000000000006,-0.0999999999999996,-0.09,-0.0699999999999999
2006-01-01,-0.8890410480078766,11.764121546135236,-1.721160875755127,-0.2999999999999971,-0.2000000000000001,0.0,0.0
2006-02-01,1.4064265290813622,-18.043724610178174,1.2468117243049917,-4.5,0.0999999999999996,0.0,0.0
2006-03-01,-3.298112251986941,0.24566042762188706,2.1797763771991163,2.200000000000003,-0.0999999999999996,-0.0999999999999999,-0.11
2006-04-01,-4.248484184115523,19.969501975942322,-2.8263959390862943,-1.5,0.0,0.0,0.0
2006-05-01,-4.467875454907269,-15.499458036387656,1.1445857105074242,-8.300000000000011,-0.1000000000000005,0.0,0.0
2006-06-01,16.928460570029884,14.095250614927993,0.9283174246677897,5.800000000000011,0.0,-0.13,-0.0399999999999999
2006-07-01,25.202976032315938,-8.020034000873169,-2.5407281773495916,-0.2000000000000028,0.1000000000000005,0.0,0.0
2006-08-01,6.762451463351173,-18.616771191041796,0.45610960003247697,-2.700000000000003,0.0,0.0,0.0
2006-09-01,-31.64653567534708,3.2365516729073596,3.9049878836833605,3.4000000000000057,-0.2000000000000001,-0.06,-0.1599999999999999
2006-10-01,1.2472157352515858,1.2893576212249922,-4.804736915521479,8.199999999999989,-0.0999999999999996,0.0,0.0
2006-11-01,-27.434863834108604,-4.964513827409308,2.4980595660462748,-1.5,0.0999999999999996,0.0,0.0
