Date,UMich Sentiment,Unemployment Rate,Recession Spread,Term Spread
2005-01-01,-1.5999999999999943,-0.10000000000000053,0.0,0.0
2005-02-01,-1.4000000000000057,0.10000000000000053,0.0,0.0
2005-03-01,-1.5,-0.20000000000000018,-0.06999999999999995,-0.010000000000000009
2005-04-01,-4.8999999999999915,0.0,-0.08000000000000007,0.030000000000000027
2005-05-01,-0.7999999999999972,-0.10000000000000053,0.0,0.0
2005-06-01,9.099999999999994,-0.09999999999999964,0.0,0.0
2005-07-01,0.5,0.0,-0.10999999999999999,-0.04999999999999993
2005-08-01,-7.400000000000006,-0.09999999999999964,-0.019999999999999962,-0.050000000000000044
2005-09-01,-12.199999999999989,0.09999999999999964,0.019999999999999962,-0.29999999999999993
2005-10-01,-2.700000000000003,0.0,0.0,0.0
2005-11-01,7.3999999999999915,0.0,0.0,0.0
2005-12-01,9.900000000000006,-0.09999999999999964,-0.09,-0.06999999999999995
2006-01-01,-0.29999999999999716,-0.20000000000000018,0.0,0.0
2006-02-01,-4.5,0.09999999999999964,0.0,0.0
2006-03-01,2.200000000000003,-0.09999999999999964,-0.09999999999999999,-0.11
2006-04-01,-1.5,0.0,0.0,0.0
2006-05-01,-8.300000000000011,-0.10000000000000053,0.0,0.0
2006-06-01,5.800000000000011,0.0,-0.13,-0.03999999999999998
2006-07-01,-0.20000000000000284,0.10000000000000053,0.0,0.0
2006-08-01,-2.700000000000003,0.0,0.0,0.0
2006-09-01,3.4000000000000057,-0.20000000000000018,-0.06,-0.15999999999999998
2006-10-01,8.199999999999989,-0.09999999999999964,0.0,0.0
2006-11-01,-1.5,0.09999999999999964,0.0,0.0
2006-12-01,-0.3999999999999915,-0.09999999999999964,0.0,-0.09999999999999998
2007-01-01,5.200000000000003,0.1999999999999993,0.0,0.0
2007-02-01,-5.6000000000000085,-0.09999999999999964,0.0,0.0
2007-03-01,-2.8999999999999915,-0.09999999999999964,0.04999999999999999,-0.3
2007-04-01,-1.3000000000000114,0.09999999999999964,0.0,0.0
2007-05-01,1.2000000000000028,-0.09999999999999964,0.0,0.0
2007-06-01,-3.0,0.1999999999999993,-0.03,0.42000000000000004
2007-07-01,5.1000000000000085,0.10000000000000053,0.0,0.0
2007-08-01,-7.0,-0.10000000000000053,0.0,0.0
2007-09-01,0.0,0.10000000000000053,0.0,0.0
2007-10-01,-2.5,0.0,0.0,0.0
2007-11-01,-4.800000000000011,0.0,0.04999999999999993,-0.08999999999999997
2007-12-01,-0.5999999999999943,0.2999999999999998,0.0,0.0
2008-01-01,2.9000000000000057,0.0,0.0,0.0
2008-02-01,-7.6000000000000085,-0.09999999999999964,0.0,0.0
2008-03-01,-1.2999999999999972,0.1999999999999993,0.0,0.0
2008-04-01,-6.899999999999999,-0.09999999999999964,0.0,0.0
2008-05-01,-2.8000000000000043,0.40000000000000036,-0.3600000000000001,0.16000000000000014
2008-06-01,-3.3999999999999986,0.1999999999999993,0.0,0.0
2008-07-01,4.800000000000004,0.20000000000000018,0.0,0.0
2008-08-01,1.7999999999999972,0.2999999999999998,0.08000000000000007,0.16999999999999993
