Date,value,Unemployment Rate,Inflation Rate,Number of Car Sales,Electricity Price CPI in US Cities
2008-01,0,5.0,0,0,0
2008-02,53.0,4.9,-0.1200000000000001,-0.2140000000000004,0.10300000000000864
2008-03,-118.0,5.1,0.06999999999999984,-0.3769999999999989,1.1310000000000002
2008-04,85.0,5.0,0.040000000000000036,-0.5090000000000003,2.399000000000001
2008-05,-57.0,5.4,0.06000000000000005,0.09199999999999875,1.9350000000000023
2008-06,91.0,5.6,0.14000000000000012,-0.3199999999999985,1.6270000000000095
2008-07,-101.0,5.8,0.06999999999999984,-1.3710000000000004,3.7779999999999916
2008-08,-70.0,6.1,0.06999999999999984,1.1129999999999995,2.5589999999999975
2008-09,-78.0,6.1,0.0,-1.1579999999999995,-1.1759999999999877
2008-10,-26.0,6.5,-0.1499999999999999,-2.0280000000000005,1.3759999999999764
2008-11,-166.0,6.8,-0.1499999999999999,-0.40700000000000003,0.4410000000000025
2008-12,-75.0,7.3,-0.1499999999999999,-0.14300000000000068,0.8480000000000132
2009-01,-84.0,7.8,-0.07000000000000028,-0.5969999999999995,0.5730000000000075
2009-02,117.0,8.3,0.010000000000000231,-0.5629999999999988,0.6219999999999857
2009-03,-73.0,8.7,-0.10999999999999988,0.5249999999999986,-0.242999999999995
2009-04,-52.0,9.0,-0.08000000000000007,-0.3689999999999998,-0.9449999999999932
2009-05,74.0,9.4,-0.0900000000000003,0.7970000000000006,-1.1119999999999948
2009-06,50.0,9.5,-0.18999999999999995,-0.027000000000001023,-0.6420000000000243
2009-07,-1.0,9.5,-0.17999999999999994,1.4170000000000016,-1.664999999999992
2009-08,17.0,9.6,-0.15999999999999992,3.187999999999999,-0.020000000000010232
2009-09,-8.0,9.8,-0.1399999999999999,-5.218999999999999,0.382000000000005
2009-10,-61.0,10.0,-0.10000000000000009,1.0410000000000004,0.8130000000000166
2009-11,45.0,9.9,-0.1399999999999999,0.46499999999999986,1.1059999999999945
2009-12,-17.0,9.9,-0.050000000000000044,0.24300000000000033,-0.056000000000011596
2010-01,34.0,9.8,-0.16000000000000014,-0.391,-1.6949999999999932
2010-02,-16.0,9.8,-0.11999999999999988,-0.5780000000000012,-1.0480000000000018
2010-03,51.0,9.9,-0.12,1.4570000000000007,3.5120000000000005
2010-04,46.0,9.9,-0.050000000000000044,-0.3179999999999996,1.2920000000000016
2010-05,-79.0,9.6,-0.05999999999999994,0.5759999999999987,-1.228999999999985
2010-06,-44.0,9.4,-0.020000000000000018,-0.4319999999999986,-0.7050000000000125
2010-07,-3.0,9.4,-0.030000000000000027,0.34999999999999964,0.6839999999999975
2010-08,52.0,9.5,-0.07000000000000006,0.06599999999999895,0.48400000000000887
2010-09,12.0,9.5,-0.029999999999999916,-0.09199999999999875,-0.7249999999999943
2010-10,-91.0,9.4,0.010000000000000009,0.4919999999999991,-0.37700000000000955
2010-11,36.0,9.8,0.1499999999999999,-0.11399999999999899,0.3830000000000098
2010-12,-26.0,9.3,0.010000000000000009,0.3049999999999997,0.7239999999999895
2011-01,67.0,9.1,0.10999999999999999,0.20099999999999874,-0.7040000000000077
2011-02,-117.0,9.0,0.17000000000000015,0.27500000000000036,0.382000000000005
2011-03,70.0,9.0,0.06999999999999984,0.17800000000000082,1.5159999999999911
2011-04,-26.0,9.1,0.050000000000000044,0.06700000000000017,0.4960000000000093
2011-05,37.0,9.0,0.06000000000000005,-1.0460000000000012,0.8269999999999982
